wpm,ac,r,t,sl,tid,gn,np,pts
130.77,0.99,2,1644004407.445,L6,4180609,2095,5,56.67
134.01,0.99,1,1644004378.157,L6,609,2094,5,129.55
121.41,0.97,1,1644004290.542,L6,4180585,2093,5,93.08
134.28,0.99,1,1644003927.443,L6,313,2092,5,134.28
136.83,0.99,1,1644000506.689,L6,3620711,2091,3,173.32
97.54,0.98,1,1644000351.225,L6,163,2090,1,84.54
114.81,0.98,2,1643999173.271,L6,3640456,2089,5,97.59
126.13,0.97,1,1643998899.87,L6,548,2088,4,81.98
122.39,0.99,2,1643997512.09,L6,3811391,2087,3,152.99
125.63,0.98,2,1643997061.288,L6,3640134,2086,5,83.75
139.84,0.99,2,1643997010.086,L6,3640564,2085,4,125.86
123.96,0.99,1,1643990486.229,L6,3810333,2084,5,72.31
135.98,0.99,2,1643990393.457,L6,3641088,2083,5,165.44
136.07,0.99,1,1643990311.24,L6,3641078,2082,4,165.55
121.47,0.98,1,1643918137.079,L6,3622248,2081,5,91.11
115.07,0.97,2,1643918084.306,L6,266,2080,5,82.47
133.45,0.98,1,1643918034.833,L6,4350617,2079,5,215.74
131.75,0.99,1,1643917962.162,L6,4180603,2078,5,133.95
139.14,0.99,1,1643917767.274,L6,4350666,2077,5,222.63
131.05,0.99,2,1643917713.984,L6,4350675,2076,5,96.1
145.99,1,1,1643917678.239,L6,3550619,2075,5,99.76
126.52,0.99,1,1643917646.964,L6,4180118,2074,5,109.65
135.14,0.99,3,1643908774.617,L6,3640332,2073,5,76.58
140.29,0.99,2,1643908730.479,L6,3621200,2072,5,119.24
126,0.98,1,1643908662.873,L6,3550969,2071,5,113.4
147.84,0.99,1,1643908582.53,L6,3621438,2070,5,61.6
138.53,0.99,2,1643908538.144,L6,3641070,2069,5,92.35
122.08,0.97,1,1643908507.759,L6,3640403,2068,5,73.25
141.85,0.99,1,1643908466.865,L6,3621136,2067,5,78.02
125.65,0.98,1,1643908428.582,L6,3620156,2066,4,131.93
133.2,0.99,2,1643906784.748,L6,3550816,2065,5,150.95
109.04,0.95,4,1643901530.051,L6,3620978,2064,5,59.97
128.38,0.99,2,1643901498.759,L6,3622472,2063,5,92.01
123.08,0.99,2,1643901448.314,L6,4350241,2062,5,149.75
124.74,0.99,1,1643901403.858,L6,3640205,2061,5,91.48
134.52,0.99,2,1643901328.945,L6,4180327,2060,4,192.81
127.28,0.99,1,1643901278.373,L6,3100038,2059,5,63.64
122.19,0.99,2,1643901242.013,L6,3621442,2058,4,118.12
130.92,0.99,1,1643901195.84,L6,601,2057,5,137.46
123.73,0.97,1,1643901121.91,L6,609,2056,5,119.6
138.72,1,2,1643901045.443,L6,4180403,2055,4,115.6
108.75,0.98,1,1643900788.182,L6,3100028,2054,4,79.75
125.04,0.98,1,1643840899.143,L6,3550791,2053,5,129.21
122.79,0.98,1,1643820311.177,L6,3621441,2052,4,49.12
